pair_id,left_image_id,right_image_id,left_identity,right_identity,pair_type,label,valid,similarity_score,prediction,error_reason
pair_00000000,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0007,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6677291393,,
pair_00000001,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5906183720,,
pair_00000002,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5455904007,,
pair_00000003,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0011,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6414376497,,
pair_00000004,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6950591207,,
pair_00000005,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0013,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.7326421738,,
pair_00000006,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.7485493422,,
pair_00000007,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5546479821,,
pair_00000008,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6070727706,,
pair_00000009,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6278231144,,
pair_00000010,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0004,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.8174788952,,
pair_00000011,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.7512884736,,
pair_00000012,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6791944504,,
pair_00000013,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.7252072692,,
pair_00000014,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0015,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5969389677,,
pair_00000015,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5666294098,,
pair_00000016,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5506722927,,
pair_00000017,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6620828509,,
pair_00000018,Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6635251045,,
